Filename:	C:\Users\A2025\Documents\Service_1216\X_Band\HS\CH3205\2nd Batch\VoACAC.par	 Date: 04/16/2025   Time: 01:31

X [G]	Intensity
1276.990723	456.581055
1278.456299	349.581055
1279.921875	561.581055
1281.387451	460.581055
1282.852905	460.581055
1284.318481	495.581055
1285.784058	621.581055
1287.249634	489.581055
1288.715210	694.581055
1290.180786	627.581055
1291.646362	518.581055
1293.111816	494.581055
1294.577393	569.581055
1296.042969	583.581055
1297.508545	615.581055
1298.974121	315.581055
1300.439697	208.581055
1301.905273	484.581055
1303.370728	716.581055
1304.836304	617.581055
1306.301880	537.581055
1307.767456	762.581055
1309.233032	616.581055
1310.698608	467.581055
1312.164185	431.581055
1313.629761	766.581055
1315.095215	363.581055
1316.560791	349.581055
1318.026367	814.581055
1319.491943	507.581055
1320.957520	242.581055
1322.423096	167.581055
1323.888672	346.581055
1325.354126	314.581055
1326.819702	442.581055
1328.285278	469.581055
1329.750854	345.581055
1331.216431	418.581055
1332.682007	430.581055
1334.147583	537.581055
1335.613037	377.581055
1337.078613	360.581055
1338.544189	712.581055
1340.009766	498.581055
1341.475342	341.581055
1342.940918	324.581055
1344.406494	420.581055
1345.871948	422.581055
1347.337524	266.581055
1348.803101	366.581055
1350.268677	468.581055
1351.734253	534.581055
1353.199829	336.581055
1354.665405	298.581055
1356.130981	210.581055
1357.596436	178.581055
1359.062012	320.581055
1360.527588	535.581055
1361.993164	380.581055
1363.458740	443.581055
1364.924316	201.581055
1366.389893	232.581055
1367.855347	275.581055
1369.320923	356.581055
1370.786499	308.581055
1372.252075	500.581055
1373.717651	459.581055
1375.183228	248.581055
1376.648804	564.581055
1378.114258	559.581055
1379.579834	255.581055
1381.045410	269.581055
1382.510986	323.581055
1383.976563	415.581055
1385.442139	639.581055
1386.907715	454.581055
1388.373169	601.581055
1389.838745	760.581055
1391.304321	736.581055
1392.769897	531.581055
1394.235474	926.581055
1395.701050	772.581055
1397.166626	535.581055
1398.632202	605.581055
1400.097656	577.581055
1401.563232	725.581055
1403.028809	631.581055
1404.494385	743.581055
