Potential,Current,Potential_vs_Fc
0.466,7.246e-07,-0.16299999999999998
0.467,7.312e-07,-0.16199999999999998
0.468,7.432e-07,-0.16099999999999998
0.469,7.481e-07,-0.16000000000000003
0.47,7.589e-07,-0.15900000000000003
0.471,7.65e-07,-0.15800000000000003
0.472,7.761e-07,-0.15700000000000003
0.473,7.819e-07,-0.15600000000000003
0.474,7.935e-07,-0.15500000000000003
0.475,8e-07,-0.15400000000000003
0.476,8.099e-07,-0.15300000000000002
0.477,8.157e-07,-0.15200000000000002
0.478,8.263e-07,-0.15100000000000002
0.479,8.323e-07,-0.15000000000000002
0.48,8.428e-07,-0.14900000000000002
0.481,8.492e-07,-0.14800000000000002
0.482,8.604e-07,-0.14700000000000002
0.483,8.663e-07,-0.14600000000000002
0.484,8.78e-07,-0.14500000000000002
0.485,8.828e-07,-0.14400000000000002
0.486,8.958e-07,-0.14300000000000002
0.487,9.017e-07,-0.14200000000000002
0.488,9.121e-07,-0.14100000000000001
0.489,9.19e-07,-0.14
0.49,9.303e-07,-0.139
0.491,9.358e-07,-0.138
0.492,9.484e-07,-0.137
0.493,9.535e-07,-0.136
0.494,9.627e-07,-0.135
0.495,9.696e-07,-0.134
0.496,9.79e-07,-0.133
0.497,9.864e-07,-0.132
0.498,9.965e-07,-0.131
0.499,1.003e-06,-0.13
0.5,1.015e-06,-0.129
0.501,1.019e-06,-0.128
0.502,1.031e-06,-0.127
0.503,1.038e-06,-0.126
0.504,1.047e-06,-0.125
0.505,1.054e-06,-0.124
0.506,1.066e-06,-0.123
0.507,1.071e-06,-0.122
0.508,1.083e-06,-0.121
0.509,1.09e-06,-0.12
0.51,1.101e-06,-0.119
0.511,1.108e-06,-0.118
0.512,1.12e-06,-0.11699999999999999
0.513,1.127e-06,-0.11599999999999999
0.514,1.136e-06,-0.11499999999999999
0.515,1.143e-06,-0.11399999999999999
0.516,1.155e-06,-0.11299999999999999
0.517,1.16e-06,-0.11199999999999999
0.518,1.172e-06,-0.11099999999999999
0.519,1.179e-06,-0.10999999999999999
0.52,1.189e-06,-0.10899999999999999
0.521,1.199e-06,-0.10799999999999998
0.522,1.209e-06,-0.10699999999999998
0.523,1.215e-06,-0.10599999999999998
0.524,1.226e-06,-0.10499999999999998
0.525,1.234e-06,-0.10399999999999998
0.526,1.244e-06,-0.10299999999999998
0.527,1.25e-06,-0.10199999999999998
0.528,1.26e-06,-0.10099999999999998
0.529,1.266e-06,-0.09999999999999998
0.53,1.277e-06,-0.09899999999999998
0.531,1.284e-06,-0.09799999999999998
0.532,1.295e-06,-0.09699999999999998
0.533,1.3e-06,-0.09599999999999997
0.534,1.312e-06,-0.09499999999999997
0.535,1.32e-06,-0.09399999999999997
0.536,1.33e-06,-0.09299999999999997
0.537,1.336e-06,-0.09199999999999997
0.538,1.35e-06,-0.09099999999999997
0.539,1.356e-06,-0.08999999999999997
0.54,1.366e-06,-0.08899999999999997
