Potential,Current,Potential_vs_Fc
-0.318,-2.454e-06,-0.9470000000000001
-0.319,-2.458e-06,-0.948
-0.32,-2.468e-06,-0.9490000000000001
-0.321,-2.475e-06,-0.95
-0.322,-2.484e-06,-0.9510000000000001
-0.323,-2.488e-06,-0.952
-0.324,-2.5e-06,-0.9530000000000001
-0.325,-2.503e-06,-0.954
-0.326,-2.514e-06,-0.9550000000000001
-0.327,-2.52e-06,-0.956
-0.328,-2.529e-06,-0.9570000000000001
-0.329,-2.535e-06,-0.958
-0.33,-2.544e-06,-0.9590000000000001
-0.331,-2.549e-06,-0.96
-0.332,-2.56e-06,-0.9610000000000001
-0.333,-2.566e-06,-0.962
-0.334,-2.577e-06,-0.9630000000000001
-0.335,-2.581e-06,-0.964
-0.336,-2.592e-06,-0.9650000000000001
-0.337,-2.598e-06,-0.966
-0.338,-2.607e-06,-0.9670000000000001
-0.339,-2.614e-06,-0.968
-0.34,-2.624e-06,-0.9690000000000001
-0.341,-2.628e-06,-0.97
-0.342,-2.64e-06,-0.9710000000000001
-0.343,-2.646e-06,-0.972
-0.344,-2.655e-06,-0.973
-0.345,-2.663e-06,-0.974
-0.346,-2.673e-06,-0.975
-0.347,-2.681e-06,-0.976
-0.348,-2.693e-06,-0.977
-0.349,-2.698e-06,-0.978
-0.35,-2.709e-06,-0.979
-0.351,-2.715e-06,-0.98
-0.352,-2.727e-06,-0.981
-0.353,-2.733e-06,-0.982
-0.354,-2.746e-06,-0.983
-0.355,-2.753e-06,-0.984
-0.356,-2.764e-06,-0.985
-0.357,-2.771e-06,-0.986
-0.358,-2.784e-06,-0.987
-0.359,-2.792e-06,-0.988
-0.36,-2.803e-06,-0.989
-0.361,-2.811e-06,-0.99
-0.362,-2.823e-06,-0.991
-0.363,-2.83e-06,-0.992
-0.364,-2.844e-06,-0.993
-0.365,-2.849e-06,-0.994
-0.366,-2.862e-06,-0.995
-0.367,-2.869e-06,-0.996
-0.368,-2.882e-06,-0.997
-0.369,-2.889e-06,-0.998
-0.37,-2.9e-06,-0.999
-0.371,-2.909e-06,-1.0
-0.372,-2.922e-06,-1.001
-0.373,-2.928e-06,-1.002
-0.374,-2.942e-06,-1.0030000000000001
-0.375,-2.95e-06,-1.004
-0.376,-2.963e-06,-1.005
-0.377,-2.972e-06,-1.006
-0.378,-2.987e-06,-1.0070000000000001
-0.379,-2.994e-06,-1.008
-0.38,-3.009e-06,-1.009
-0.381,-3.017e-06,-1.01
-0.382,-3.03e-06,-1.0110000000000001
-0.383,-3.038e-06,-1.012
-0.384,-3.053e-06,-1.013
-0.385,-3.063e-06,-1.014
-0.386,-3.075e-06,-1.0150000000000001
-0.387,-3.086e-06,-1.016
-0.388,-3.099e-06,-1.017
-0.389,-3.107e-06,-1.018
-0.39,-3.123e-06,-1.0190000000000001
-0.391,-3.132e-06,-1.02
-0.392,-3.146e-06,-1.021
-0.393,-3.157e-06,-1.022
-0.394,-3.169e-06,-1.0230000000000001
-0.395,-3.18e-06,-1.024
-0.396,-3.195e-06,-1.025
-0.397,-3.205e-06,-1.026
-0.398,-3.219e-06,-1.0270000000000001
-0.399,-3.23e-06,-1.028
-0.4,-3.246e-06,-1.029
-0.401,-3.257e-06,-1.03
-0.402,-3.271e-06,-1.0310000000000001
-0.403,-3.283e-06,-1.032
-0.404,-3.299e-06,-1.033
-0.405,-3.309e-06,-1.034
-0.406,-3.326e-06,-1.0350000000000001
-0.407,-3.336e-06,-1.036
-0.408,-3.352e-06,-1.037
-0.409,-3.364e-06,-1.038
-0.41,-3.384e-06,-1.039
-0.411,-3.394e-06,-1.04
-0.412,-3.41e-06,-1.041
-0.413,-3.421e-06,-1.042
-0.414,-3.438e-06,-1.043
-0.415,-3.45e-06,-1.044
-0.416,-3.469e-06,-1.045
-0.417,-3.48e-06,-1.046
-0.418,-3.496e-06,-1.047
-0.419,-3.508e-06,-1.048
-0.42,-3.526e-06,-1.049
-0.421,-3.54e-06,-1.05
-0.422,-3.559e-06,-1.051
-0.423,-3.572e-06,-1.052
-0.424,-3.589e-06,-1.053
-0.425,-3.603e-06,-1.054
-0.426,-3.62e-06,-1.055
-0.427,-3.633e-06,-1.056
-0.428,-3.651e-06,-1.057
-0.429,-3.665e-06,-1.058
-0.43,-3.684e-06,-1.059
-0.431,-3.697e-06,-1.06
-0.432,-3.716e-06,-1.061
-0.433,-3.731e-06,-1.062
-0.434,-3.747e-06,-1.063
-0.435,-3.764e-06,-1.064
-0.436,-3.783e-06,-1.065
-0.437,-3.797e-06,-1.066
-0.438,-3.818e-06,-1.067
-0.439,-3.833e-06,-1.068
-0.44,-3.854e-06,-1.069
-0.441,-3.871e-06,-1.07
-0.442,-3.89e-06,-1.071
-0.443,-3.904e-06,-1.072
-0.444,-3.925e-06,-1.073
-0.445,-3.94e-06,-1.074
-0.446,-3.963e-06,-1.075
-0.447,-3.978e-06,-1.076
-0.448,-4e-06,-1.077
-0.449,-4.018e-06,-1.078
-0.45,-4.039e-06,-1.079
-0.451,-4.056e-06,-1.08
-0.452,-4.077e-06,-1.081
-0.453,-4.094e-06,-1.082
-0.454,-4.117e-06,-1.083
-0.455,-4.134e-06,-1.084
-0.456,-4.157e-06,-1.085
-0.457,-4.176e-06,-1.086
-0.458,-4.199e-06,-1.087
-0.459,-4.217e-06,-1.088
-0.46,-4.242e-06,-1.089
-0.461,-4.262e-06,-1.09
-0.462,-4.285e-06,-1.091
-0.463,-4.303e-06,-1.092
-0.464,-4.327e-06,-1.093
-0.465,-4.346e-06,-1.094
-0.466,-4.369e-06,-1.095
-0.467,-4.389e-06,-1.096
-0.468,-4.416e-06,-1.097
-0.469,-4.434e-06,-1.0979999999999999
-0.47,-4.46e-06,-1.099
-0.471,-4.48e-06,-1.1
-0.472,-4.504e-06,-1.101
-0.473,-4.523e-06,-1.1019999999999999
-0.474,-4.549e-06,-1.103
-0.475,-4.569e-06,-1.104
-0.476,-4.595e-06,-1.105
-0.477,-4.615e-06,-1.1059999999999999
-0.478,-4.642e-06,-1.107
-0.479,-4.664e-06,-1.108
-0.48,-4.692e-06,-1.109
-0.481,-4.715e-06,-1.1099999999999999
-0.482,-4.742e-06,-1.111
-0.483,-4.766e-06,-1.112
-0.484,-4.794e-06,-1.113
-0.485,-4.816e-06,-1.1139999999999999
-0.486,-4.845e-06,-1.115
-0.487,-4.868e-06,-1.116
-0.488,-4.895e-06,-1.117
-0.489,-4.92e-06,-1.1179999999999999
-0.49,-4.95e-06,-1.119
-0.491,-4.973e-06,-1.12
-0.492,-5.003e-06,-1.121
-0.493,-5.027e-06,-1.1219999999999999
-0.494,-5.057e-06,-1.123
-0.495,-5.079e-06,-1.124
-0.496,-5.107e-06,-1.125
-0.497,-5.131e-06,-1.126
-0.498,-5.16e-06,-1.127
-0.499,-5.187e-06,-1.1280000000000001
-0.5,-5.217e-06,-1.129
-0.501,-5.242e-06,-1.13
-0.502,-5.271e-06,-1.131
-0.503,-5.298e-06,-1.1320000000000001
-0.504,-5.327e-06,-1.133
-0.505,-5.353e-06,-1.134
-0.506,-5.386e-06,-1.135
-0.507,-5.411e-06,-1.1360000000000001
-0.508,-5.443e-06,-1.137
-0.509,-5.468e-06,-1.138
-0.51,-5.501e-06,-1.139
-0.511,-5.528e-06,-1.1400000000000001
-0.512,-5.561e-06,-1.141
-0.513,-5.587e-06,-1.142
-0.514,-5.619e-06,-1.143
-0.515,-5.645e-06,-1.1440000000000001
-0.516,-5.677e-06,-1.145
-0.517,-5.701e-06,-1.146
-0.518,-5.736e-06,-1.147
-0.519,-5.763e-06,-1.1480000000000001
-0.52,-5.795e-06,-1.149
-0.521,-5.823e-06,-1.15
-0.522,-5.854e-06,-1.151
-0.523,-5.882e-06,-1.1520000000000001
-0.524,-5.915e-06,-1.153
-0.525,-5.942e-06,-1.154
-0.526,-5.975e-06,-1.155
-0.527,-6.002e-06,-1.1560000000000001
-0.528,-6.036e-06,-1.157
-0.529,-6.063e-06,-1.158
-0.53,-6.094e-06,-1.159
-0.531,-6.123e-06,-1.1600000000000001
-0.532,-6.158e-06,-1.161
-0.533,-6.184e-06,-1.162
-0.534,-6.217e-06,-1.163
-0.535,-6.243e-06,-1.1640000000000001
-0.536,-6.274e-06,-1.165
-0.537,-6.301e-06,-1.166
-0.538,-6.334e-06,-1.167
-0.539,-6.362e-06,-1.1680000000000001
-0.54,-6.394e-06,-1.169
-0.541,-6.42e-06,-1.17
-0.542,-6.453e-06,-1.171
-0.543,-6.478e-06,-1.1720000000000002
-0.544,-6.508e-06,-1.173
-0.545,-6.535e-06,-1.174
-0.546,-6.566e-06,-1.175
-0.547,-6.592e-06,-1.1760000000000002
-0.548,-6.624e-06,-1.177
-0.549,-6.649e-06,-1.178
-0.55,-6.682e-06,-1.179
-0.551,-6.709e-06,-1.1800000000000002
-0.552,-6.74e-06,-1.181
-0.553,-6.766e-06,-1.182
-0.554,-6.797e-06,-1.183
-0.555,-6.821e-06,-1.1840000000000002
-0.556,-6.853e-06,-1.185
-0.557,-6.878e-06,-1.186
-0.558,-6.91e-06,-1.187
-0.559,-6.934e-06,-1.1880000000000002
-0.56,-6.964e-06,-1.189
-0.561,-6.988e-06,-1.19
-0.562,-7.016e-06,-1.191
-0.563,-7.041e-06,-1.192
-0.564,-7.072e-06,-1.193
-0.565,-7.094e-06,-1.194
-0.566,-7.122e-06,-1.1949999999999998
-0.567,-7.146e-06,-1.196
-0.568,-7.174e-06,-1.197
-0.569,-7.197e-06,-1.198
-0.57,-7.224e-06,-1.1989999999999998
-0.571,-7.248e-06,-1.2
-0.572,-7.275e-06,-1.201
-0.573,-7.296e-06,-1.202
-0.574,-7.322e-06,-1.2029999999999998
-0.575,-7.34e-06,-1.204
-0.576,-7.368e-06,-1.205
-0.577,-7.39e-06,-1.206
-0.578,-7.415e-06,-1.2069999999999999
-0.579,-7.435e-06,-1.208
-0.58,-7.461e-06,-1.209
-0.581,-7.479e-06,-1.21
-0.582,-7.504e-06,-1.2109999999999999
-0.583,-7.523e-06,-1.212
-0.584,-7.547e-06,-1.213
-0.585,-7.565e-06,-1.214
-0.586,-7.586e-06,-1.2149999999999999
-0.587,-7.603e-06,-1.216
-0.588,-7.623e-06,-1.217
